nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Nogales De Belverde,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/964,2048000000.0,54.0,2,3,2025,No info,No info,No info
Montpellier Apartasuites,Aparta Suites,Caldas,,https://www.informeinmobiliario.com/aparta-suites-venta-caldas/proyecto/1204,115700000.0,21.0,1,1,No info,No info,No info,No info
Montpellier Apartasuites,Aparta Suites,Caldas,,https://www.informeinmobiliario.com/aparta-suites-venta-caldas/proyecto/1204,1157000000.0,27.0,1,1,2025,No info,No info,No info
Montpellier Apartasuites,Aparta Suites,Caldas,,https://www.informeinmobiliario.com/aparta-suites-venta-caldas/proyecto/1204,11570000000.0,30.0,1,1,2025,No info,No info,No info
Montpellier Apartasuites,Aparta Suites,Caldas,,https://www.informeinmobiliario.com/aparta-suites-venta-caldas/proyecto/1204,115700000000.0,33.0,1,1,2025,No info,No info,No info
Portón Del Norte,Apartamentos,Copacabana,Loma Los Álvarez,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-loma-los-alvarez/proyecto/998,212885600.0,68.0,2,3,Inmediata,1,No info,No info
Portón Del Norte,Apartamentos,Copacabana,Loma Los Álvarez,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-loma-los-alvarez/proyecto/998,2128856000.0,70.0,2,3,Inmediata,1,No info,No info
Entrebosques,Apartamentos,Bello,Niquia,https://www.informeinmobiliario.com/apartamentos-venta-bello-niquia/proyecto/1256,194900000.0,54.0,2,3,2024 - 2025,No info,1,No info
Entrebosques,Apartamentos,Bello,Niquia,https://www.informeinmobiliario.com/apartamentos-venta-bello-niquia/proyecto/1256,1949000000.0,54.0,2,3,2024 - 2025,No info,1,No info
Entreprados,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1047,188000000.0,49.0,1,2,2024 - 2025,No info,No info,No info
Entreprados,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1047,1880000000.0,52.0,2,2,2024 - 2025,No info,No info,No info
Luna del Cerro,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/1315,210500000.0,51.0,2,3,2025,No info,No info,No info
Luna del Cerro,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/1315,2105000000.0,51.0,2,3,2025,No info,No info,No info
Vidanta,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/1114,191400000.0,57.0,2,3,Inmediata - 2024,No info,1,No info
